TravelMonth,AirMiles,CarMiles,RailMiles
1994-5,44297210000,206595000000,524008197000
1994-6,48169096000,207281000000,531971149000
1994-7,52410979000,214777000000,578257564000
1994-8,53235052000,215046000000,587229076000
1994-9,44677623000,200511000000,490032783000
1994-10,45845403000,202864000000,493619903000
1994-11,42230318000,190073000000,477594716000
1994-12,43868116000,193086000000,490779357000
1995-1,42050940000,183617000000,425207429000
1995-2,38580784000,172522000000,393268412000
1995-3,47390145000,202408000000,489360683000
1995-4,45427499000,199527000000,490903635000
1995-5,45915722000,213564000000,511120586000
1995-6,49992583000,212282000000,542693418000
1995-7,53345749000,217719000000,571259638000
1995-8,54776466000,219873000000,580982161000
1995-9,45589237000,204323000000,451385426000
1995-10,46993036000,206990000000,441202778000
1995-11,43703386000,195409000000,435470011000
1995-12,45015358000,194585000000,444598571000
1996-1,42734234000,183737000000,362022328000
1996-2,43056589000,176819000000,343413949000
1996-3,51646570000,204469000000,416042895000
1996-4,48063492000,205557000000,425092726000
1996-5,49808809000,218999000000,467573082000
1996-6,53774378000,215871000000,476554648000
1996-7,56576582000,225440000000,525954361000
1996-8,58714135000,229385000000,551695523000
1996-9,47857913000,207908000000,412344840000
1996-10,49873317000,215972000000,425991795000
1996-11,44696485000,199937000000,389249720000
1996-12,49361193000,201754000000,437256586000
1997-1,46692784000,190126000000,337798678000
1997-2,43761932000,183951000000,337893100000
1997-3,54755166000,211952000000,416925515000
1997-4,50182894000,211290000000,408488665000
1997-5,51979543000,226082000000,444032624000
1997-6,55462027000,222254000000,481053743000
1997-7,58771317000,236713000000,540293509000
1997-8,60496856000,233497000000,552486079000
1997-9,50076953000,213548000000,425814893000
1997-10,51846329000,221219000000,445858326000
1997-11,47743798000,202422000000,441249575000
1997-12,50414361000,207322000000,454400575000
1998-1,47290992000,196871000000,371355589000
1998-2,44641209000,187167000000,326874247000
1998-3,54453961000,214222000000,426172239000
1998-4,53044174000,217921000000,447877815000
1998-5,54302581000,227901000000,462341914000
1998-6,57335447000,228732000000,482325897000
1998-7,59441840000,239944000000,537481124000
1998-8,60813085000,237143000000,526444502000
1998-9,49560508000,219461000000,430364874000
1998-10,53463147000,228523000000,444719403000
1998-11,49561082000,211178000000,427669956000
1998-12,51024977000,216304000000,459051399000
1999-1,48861094000,194436000000,384824724000
1999-2,46158194000,192333000000,350270063000
1999-3,57761057000,221739000000,436837107000
1999-4,54968382000,221979000000,435360347000
1999-5,55469960000,231814000000,450054655000
1999-6,59918608000,237016000000,496553598000
1999-7,64397523000,244198000000,543923323000
1999-8,63752132000,242568000000,528001216000
1999-9,53733696000,225303000000,393137094000
1999-10,57407208000,234661000000,425897553000
1999-11,53866781000,222831000000,421595015000
1999-12,52331272000,222458000000,442742459000
2000-1,49745428000,203582000000,366607410000
2000-2,49876910000,199638000000,366139276000
2000-3,61378569000,232627000000,453096388000
2000-4,58981617000,227808000000,473751011000
2000-5,61165486000,242108000000,481725263000
2000-6,65524091000,243012000000,517102460000
2000-7,67883256000,245083000000,564747276000
2000-8,66924512000,247770000000,558060051000
2000-9,56441629000,227328000000,446489429000
2000-10,58834210000,236554000000,462329685000
2000-11,56283261000,222799000000,442268378000
2000-12,55380280000,218436000000,461651082000
2001-1,53129922000,209259000000,379458113000
2001-2,49992995000,199909000000,366288212000
2001-3,62323049000,231489000000,448912584000
2001-4,59801562000,231365000000,455496342000
2001-5,60246477000,244252000000,462376555000
2001-6,64987625000,242579000000,528690495000
2001-7,68573410000,248785000000,564037290000
2001-8,69003617000,251688000000,562266005000
2001-9,39106905000,224571000000,446266947000
2001-10,44271037000,240000000000,452095235000
2001-11,45245063000,229479000000,446094295000
2001-12,48167518000,228087000000,479188434000
2002-1,46587818000,213808000000,398440459000
2002-2,45157533000,206462000000,397948828000
2002-3,57423155000,234005000000,461087451000
2002-4,53013066000,234809000000,453147413000
2002-5,55663570000,249886000000,461648459000
2002-6,60224150000,246389000000,499751748000
2002-7,62570110000,254194000000,564046073000
2002-8,62881793000,256244000000,516103068000
2002-9,48925997000,230597000000,385097846000
2002-10,52779975000,243289000000,399248774000
2002-11,48902677000,228389000000,375996408000
2002-12,55355434000,231262000000,448246102000
2003-1,50602700000,216600000000,393287373000
2003-2,46455943000,201900000000,390041481000
2003-3,56033121000,236700000000,472573962000
2003-4,51146721000,238100000000,483653074000
2003-5,53591384000,253200000000,489484678000
2003-6,59426357000,252000000000,531138943000
2003-7,65041408000,261300000000,578767927000
2003-8,64095456000,259600000000,557897322000
2003-9,51347366000,236000000000,427807444000
2003-10,55810667000,253400000000,463025617000
2003-11,53249129000,233300000000,448181812000
2003-12,57795908000,237600000000,489403554000
2004-1,53447972000,217300000000,410338691000
2004-2,52608801000,210400000000,389778365000
2004-3,63600019000,247500000000,453014590000
2004-4,61887720000,245400000000,471116666000
