Month,AirMiles,RailMiles,VehicleMiles
1999-10,57407208000,425897553000,234661000000
1999-11,53866781000,421595015000,222831000000
1999-12,52331272000,442742459000,222458000000
2000-1,49745428000,366607410000,203582000000
2000-2,49876910000,366139276000,199638000000
2000-3,61378569000,453096388000,232627000000
2000-4,58981617000,473751011000,227808000000
2000-5,61165486000,481725263000,242108000000
2000-6,65524091000,517102460000,243012000000
2000-7,67883256000,564747276000,245083000000
2000-8,66924512000,558060051000,247770000000
2000-9,56441629000,446489429000,227328000000
2000-10,58834210000,462329685000,236554000000
2000-11,56283261000,442268378000,222799000000
2000-12,55380280000,461651082000,218436000000
2016-1,53129922000,379458113000,209259000000
2016-2,49992995000,366288212000,199909000000
2016-3,62323049000,448912584000,231489000000
2016-4,59801562000,455496342000,231365000000
2016-5,60246477000,462376555000,244252000000
2016-6,64987625000,528690495000,242579000000
2016-7,68573410000,564037290000,248785000000
2016-8,69003617000,562266005000,251688000000
2016-9,39106905000,446266947000,224571000000
2016-10,44271037000,452095235000,240000000000
2016-11,45245063000,446094295000,229479000000
2016-12,48167518000,479188434000,228087000000
2016-1,46587818000,398440459000,213808000000
2016-2,45157533000,397948828000,206462000000
2016-3,57423155000,461087451000,234005000000
2016-4,53013066000,453147413000,234809000000
2016-5,55663570000,461648459000,249886000000
2016-6,60224150000,499751748000,246389000000
2016-7,62570110000,564046073000,254194000000
2016-8,62881793000,516103068000,256244000000
2016-9,48925997000,385097846000,230597000000
2016-10,52779975000,399248774000,243289000000
2016-11,48902677000,375996408000,228389000000
2016-12,55355434000,448246102000,231262000000
2016-1,50602700000,393287373000,216600000000
2016-2,46455943000,390041481000,201900000000
2016-3,56033121000,472573962000,236700000000
2016-4,51146721000,483653074000,238100000000
2016-5,53591384000,489484678000,253200000000
2016-6,59426357000,531138943000,252000000000
2016-7,65041408000,578767927000,261300000000
2016-8,64095456000,557897322000,259600000000
2016-9,51347366000,427807444000,236000000000
2016-10,55810667000,463025617000,253400000000
2016-11,53249129000,448181812000,233300000000
2016-12,57795908000,489403554000,237600000000
2016-1,53447972000,410338691000,217300000000
2016-2,52608801000,389778365000,210400000000
2016-3,63600019000,453014590000,247500000000
2016-4,61887720000,471116666000,245400000000
